hidden_state_method,hidden_state_layer,signal,n_train,n_validation,n_test,positive_rate_test,test_has_two_classes,weighted,feature_count,p_greater_than_n_train,accuracy_at_0_5,ece,mce,brier,wrong_conf_ge_0_8,wrong_conf_ge_0_9,auc
answer_mean,-1,raw_generation_confidence,650,150,200,0.54,True,False,3072,True,0.565,0.31685652318784696,0.5677124346719619,0.2891792605167781,44,17,0.8514492753623188
answer_mean,-1,raw_temperature_scaled_confidence,650,150,200,0.54,True,False,3072,True,0.565,0.17592118109820712,0.47531783190307236,0.2118373368871139,0,0,0.8514492753623188
answer_mean,-1,raw_platt_confidence,650,150,200,0.54,True,False,3072,True,0.755,0.11158697280549462,0.19761598966843263,0.17049778667642404,0,0,0.8514492753623188
answer_mean,-1,raw_isotonic_confidence,650,150,200,0.54,True,False,3072,True,0.74,0.06381127819548872,0.33333333333333337,0.17676919204025102,2,2,0.8041968599033816
answer_mean,-1,raw_platt_conservative_confidence,650,150,200,0.54,True,False,3072,True,0.755,0.11158697280549462,0.19761598966843263,0.17049778667642404,0,0,0.8514492753623188
answer_mean,-1,raw_isotonic_conservative_confidence,650,150,200,0.54,True,False,3072,True,0.74,0.06351568612480278,0.33333333333333337,0.1766546752344967,2,2,0.8073168276972624
answer_mean,-1,hidden_only_probe_confidence,650,150,200,0.54,True,False,3072,True,0.73,0.20403811772046737,0.5881208343487638,0.22059424683143994,16,13,0.8073671497584541
answer_mean,-1,hidden_conservative_confidence,650,150,200,0.54,True,False,3072,True,0.73,0.15800723511977768,0.300634126674478,0.20161430224343418,11,3,0.8307165861513688
answer_mean,-1,raw_plus_hidden_confidence,650,150,200,0.54,True,False,3072,True,0.74,0.19670362777437875,0.35158076393077997,0.2146717227357861,17,13,0.813305152979066
answer_mean,-1,raw_plus_hidden_conservative_confidence,650,150,200,0.54,True,False,3072,True,0.74,0.16409714841866677,0.35158076393077997,0.19839036362077017,12,3,0.8329307568438004
answer_mean,-1,probe_score_plus_raw_confidence,650,150,200,0.54,True,False,3072,True,0.74,0.1576641460558602,0.3939861098519237,0.20076141976599118,15,9,0.8201489533011272
