id,dataset,split,question,context,accepted_answers,model_answer,auto_correctness_label,manual_correctness_label,raw_generation_confidence,tcl_v0_probe_confidence,tcl_v0_conservative_confidence,tcl_v0_calibrated_confidence,hidden_state_method,run_id,review_reason,review_notes,changes_aggregate_interpretation
squad-validation-104,squad_validation_1000,test,What other two famous performers were part of the Super Bowl 50 halftime?,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Super Bowl XLVIII halftime shows, respectively. It was the third-most watched U.S. broadcast ever.",Beyoncé and Bruno Mars,"Bruno Mars, Beyoncé",0,1,0.7357768464917966,0.9999845268199395,0.7357768464917966,0.6706432419345039,answer_mean,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,high_confidence_wrong,assistant-assisted high token overlap with alias: Beyoncé and Bruno Mars,yes
squad-validation-146,squad_validation_1000,test,"In 2012, how many stadiums were named as finalists for hosting Super Bowl 50 before the final stadium was chosen?","The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium. The South Florida/Miami area has previously hosted the event 10 times (tied for most with New Orleans), with the most recent one being Super Bowl XLIV in 2010. The San Francisco Bay Area last hosted in 1985 (Super Bowl XIX), held at Stanford Stadium in Stanford, California, won by the home team 49ers. The Miami bid depended on whether the stadium underwent renovations. However, on May 3, 2013, the Florida legislature refused to approve the funding plan to pay for the renovations, dealing a significant blow to Miami's chances.",two,10,0,0,0.7264356394038517,0.9693273861265842,0.7264356394038517,0.5138011274521668,answer_mean,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,high_confidence_wrong,assistant-assisted no lexical overlap with accepted aliases,no
squad-validation-203,squad_validation_1000,test,What Panther tore his ACL in the preseason?,"Despite waiving longtime running back DeAngelo Williams and losing top wide receiver Kelvin Benjamin to a torn ACL in the preseason, the Carolina Panthers had their best regular season in franchise history, becoming the seventh team to win at least 15 regular season games since the league expanded to a 16-game schedule in 1978. Carolina started the season 14–0, not only setting franchise records for the best start and the longest single-season winning streak, but also posting the best start to a season by an NFC team in NFL history, breaking the 13–0 record previously shared with the 2009 New Orleans Saints and the 2011 Green Bay Packers. With their NFC-best 15–1 regular season record, the Panthers clinched home-field advantage throughout the NFC playoffs for the first time in franchise history. Ten players were selected to the Pro Bowl (the most in franchise history) along with eight All-Pro selections.",Kelvin Benjamin | Benjamin,DeAngelo Williams,0,0,0.8742163942487156,0.9995730512505219,0.8742163942487156,0.6048287470391215,answer_mean,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,high_confidence_wrong,assistant-assisted no lexical overlap with accepted aliases,no
squad-validation-217,squad_validation_1000,test,How many total touchdowns did Cam Newton score?,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback Cam Newton had one of his best seasons, throwing for 3,837 yards and rushing for 636, while recording a career-high and league-leading 45 total touchdowns (35 passing, 10 rushing), a career-low 10 interceptions, and a career-best quarterback rating of 99.4. Newton's leading receivers were tight end Greg Olsen, who caught a career-high 77 passes for 1,104 yards and seven touchdowns, and wide receiver Ted Ginn, Jr., who caught 44 passes for 739 yards and 10 touchdowns; Ginn also rushed for 60 yards and returned 27 punts for 277 yards. Other key receivers included veteran Jerricho Cotchery (39 receptions for 485 yards), rookie Devin Funchess (31 receptions for 473 yards and five touchdowns), and second-year receiver Corey Brown (31 receptions for 447 yards). The Panthers backfield featured Pro Bowl running back Jonathan Stewart, who led the team with 989 rushing yards and six touchdowns in 13 games, along with Pro Bowl fullback Mike Tolbert, who rushed for 256 yards and caught 18 passes for another 154 yards. Carolina's offensive line also featured two Pro Bowl selections: center Ryan Kalil and guard Trai Turner.",45,35,0,0,0.6375200529837195,0.9408398149097167,0.6375200529837195,0.49903397182836234,answer_mean,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,high_confidence_wrong,assistant-assisted no lexical overlap with accepted aliases,no
squad-validation-225,squad_validation_1000,test,Which Panthers RB scored 6 TDs in the 13 games leading up to Super Bowl 50?,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback Cam Newton had one of his best seasons, throwing for 3,837 yards and rushing for 636, while recording a career-high and league-leading 45 total touchdowns (35 passing, 10 rushing), a career-low 10 interceptions, and a career-best quarterback rating of 99.4. Newton's leading receivers were tight end Greg Olsen, who caught a career-high 77 passes for 1,104 yards and seven touchdowns, and wide receiver Ted Ginn, Jr., who caught 44 passes for 739 yards and 10 touchdowns; Ginn also rushed for 60 yards and returned 27 punts for 277 yards. Other key receivers included veteran Jerricho Cotchery (39 receptions for 485 yards), rookie Devin Funchess (31 receptions for 473 yards and five touchdowns), and second-year receiver Corey Brown (31 receptions for 447 yards). The Panthers backfield featured Pro Bowl running back Jonathan Stewart, who led the team with 989 rushing yards and six touchdowns in 13 games, along with Pro Bowl fullback Mike Tolbert, who rushed for 256 yards and caught 18 passes for another 154 yards. Carolina's offensive line also featured two Pro Bowl selections: center Ryan Kalil and guard Trai Turner.",Jonathan Stewart,Devin Funchess,0,0,0.8746484042786751,0.9987978984201188,0.8746484042786751,0.5833392477251163,answer_mean,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,high_confidence_wrong,assistant-assisted no lexical overlap with accepted aliases,no
squad-validation-323,squad_validation_1000,test,What team was the divisional round winner between the Broncos and Steelers?,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18, by intercepting a pass on New England's 2-point conversion attempt with 17 seconds left on the clock. Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games.",Broncos | The Broncos,Pittsburgh Steelers,0,0,0.9106439044969064,0.9997408471938073,0.9106439044969064,0.6150510314644493,answer_mean,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,high_confidence_wrong,assistant-assisted no lexical overlap with accepted aliases,no
squad-validation-438,squad_validation_1000,test,"Which Super Bowl, after the 50th one, will begin have Roman numerals in the title again?","On June 4, 2014, the NFL announced that the practice of branding Super Bowl games with Roman numerals, a practice established at Super Bowl V, would be temporarily suspended, and that the game would be named using Arabic numerals as Super Bowl 50 as opposed to Super Bowl L. The use of Roman numerals will be reinstated for Super Bowl LI. Jaime Weston, the league's vice president of brand and creative, explained that a primary reason for the change was the difficulty of designing an aesthetically pleasing logo with the letter ""L"" using the standardized logo template introduced at Super Bowl XLV. The logo also deviates from the template by featuring large numerals, colored in gold, behind the Vince Lombardi Trophy, instead of underneath and in silver as in the standard logo.",Super Bowl LI | LI,Super Bowl 50,0,0,0.8116265069163521,0.7071181446795489,0.7071181446795489,0.4585818631780048,answer_mean,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,high_confidence_wrong,"assistant semantic review: model says Super Bowl 50, but expected Super Bowl LI.",no
squad-validation-469,squad_validation_1000,test,What football associated thing started at Justin Herman Plaza in January?,"The annual NFL Experience was held at the Moscone Center in San Francisco. In addition, ""Super Bowl City"" opened on January 30 at Justin Herman Plaza on The Embarcadero, featuring games and activities that will highlight the Bay Area's technology, culinary creations, and cultural diversity. More than 1 million people are expected to attend the festivities in San Francisco during Super Bowl Week. San Francisco mayor Ed Lee said of the highly visible homeless presence in this area ""they are going to have to leave"". San Francisco city supervisor Jane Kim unsuccessfully lobbied for the NFL to reimburse San Francisco for city services in the amount of $5 million.","Super Bowl City | ""Super Bowl City""",Super Bowl,0,1,0.6220165571456722,0.9503549790250798,0.6220165571456722,0.5030220594238848,answer_mean,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,high_confidence_wrong,assistant-assisted contained alias match: Super Bowl City,yes
squad-validation-551,squad_validation_1000,test,Which network broadcast the game in Spanish?,"On December 28, 2015, ESPN Deportes announced that they had reached an agreement with CBS and the NFL to be the exclusive Spanish-language broadcaster of the game, marking the third dedicated Spanish-language broadcast of the Super Bowl. Unlike NBC and Fox, CBS does not have a Spanish-language outlet of its own that could broadcast the game (though per league policy, a separate Spanish play-by-play call was carried on CBS's second audio program channel for over-the-air viewers). The game was called by ESPN Deportes' Monday Night Football commentary crew of Alvaro Martin and Raul Allegre, and sideline reporter John Sutcliffe. ESPN Deportes broadcast pre-game and post-game coverage, while Martin, Allegre, and Sutcliffe contributed English-language reports for ESPN's SportsCenter and Mike & Mike.",ESPN Deportes,CBS,0,0,0.698990491112566,0.980449915637426,0.698990491112566,0.5237198410081381,answer_mean,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,high_confidence_wrong,assistant-assisted no lexical overlap with accepted aliases,no
squad-validation-570,squad_validation_1000,test,What app did viewers use to watch the game on their smartphones?,"CBS provided digital streams of the game via CBSSports.com, and the CBS Sports apps on tablets, Windows 10, Xbox One and other digital media players (such as Chromecast and Roku). Due to Verizon Communications exclusivity, streaming on smartphones was only provided to Verizon Wireless customers via the NFL Mobile service. The ESPN Deportes Spanish broadcast was made available through WatchESPN.",NFL Mobile service | the CBS Sports apps | NFL,WatchESPN,0,0,0.8974736773230951,0.915511737426641,0.8974736773230951,0.4907828655517856,answer_mean,freegpu-squad1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,high_confidence_wrong,assistant-assisted no lexical overlap with accepted aliases,no
