hidden_state_method,hidden_state_layer,signal,n_train,n_validation,n_test,positive_rate_test,test_has_two_classes,weighted,feature_count,p_greater_than_n_train,accuracy_at_0_5,ece,mce,brier,wrong_conf_ge_0_8,wrong_conf_ge_0_9,auc
answer_mean,-1,raw_generation_confidence,650,150,200,0.23,True,True,2048,True,0.23,0.5764265596376101,0.6561506953098817,0.4922919812216266,80,19,0.7291078486730661
answer_mean,-1,raw_temperature_scaled_confidence,650,150,200,0.23,True,True,2048,True,0.23,0.3122634607767114,0.37032142954965586,0.26713576007003825,0,0,0.7291078486730661
answer_mean,-1,raw_platt_confidence,650,150,200,0.23,True,True,2048,True,0.62,0.27395157064396053,0.3525499477833139,0.23188433106710846,0,0,0.7291078486730661
answer_mean,-1,raw_isotonic_confidence,650,150,200,0.23,True,True,2048,True,0.725,0.24498296960236743,0.3717647058823528,0.21919884139420887,1,1,0.708498023715415
answer_mean,-1,raw_platt_conservative_confidence,650,150,200,0.23,True,True,2048,True,0.62,0.27395157064396053,0.3525499477833139,0.23188433106710846,0,0,0.7291078486730661
answer_mean,-1,raw_isotonic_conservative_confidence,650,150,200,0.23,True,True,2048,True,0.725,0.24473761780948108,0.3717647058823528,0.21900901660074573,1,1,0.708498023715415
answer_mean,-1,hidden_only_probe_confidence,650,150,200,0.23,True,True,2048,True,0.755,0.19113579596451463,0.6961791705273882,0.20626916981431456,17,11,0.7636928289102202
answer_mean,-1,hidden_conservative_confidence,650,150,200,0.23,True,True,2048,True,0.755,0.17501330168156648,0.6961791705273882,0.1883981978216432,10,2,0.7708921513269339
answer_mean,-1,raw_plus_hidden_confidence,650,150,200,0.23,True,True,2048,True,0.755,0.19110011828973514,0.6309442590259615,0.20344698694738972,17,11,0.7686335403726708
answer_mean,-1,raw_plus_hidden_conservative_confidence,650,150,200,0.23,True,True,2048,True,0.755,0.17427014887557513,0.6309442590259615,0.18636369870079492,10,2,0.775691699604743
answer_mean,-1,probe_score_plus_raw_confidence,650,150,200,0.23,True,True,2048,True,0.755,0.1772051860634324,0.6090110281800827,0.19603695063257678,15,9,0.7684923771880293
