id,question,answers
q001,What is the capital city of France?,Paris
q002,Who wrote the play Romeo and Juliet?,William Shakespeare|Shakespeare
q003,What planet is known as the Red Planet?,Mars
q004,What is the largest ocean on Earth?,Pacific Ocean|Pacific
q005,Who painted the Mona Lisa?,Leonardo da Vinci|Da Vinci
q006,What gas do plants absorb from the atmosphere for photosynthesis?,Carbon dioxide|CO2
q007,What is the chemical symbol for water?,H2O
q008,In what country is the city of Tokyo located?,Japan
q009,How many continents are commonly counted on Earth?,Seven|7
q010,Who developed the theory of relativity?,Albert Einstein|Einstein
q011,What is the currency of Japan?,Yen|Japanese yen
q012,What is the tallest mountain above sea level?,Mount Everest|Everest
q013,What organ pumps blood through the human body?,Heart|the heart
q014,What is the freezing point of water in Celsius?,0|0 degrees|zero degrees
q015,Who is the author of 1984?,George Orwell|Orwell
q016,What language is primarily spoken in Brazil?,Portuguese
q017,What is the smallest prime number?,2|two
q018,Which element has the atomic number 1?,Hydrogen
q019,What is the capital city of Qatar?,Doha
q020,What is the process by which plants make food using sunlight?,Photosynthesis
