id,dataset,split,question,context,accepted_answers,model_answer,auto_correctness_label,manual_correctness_label,raw_generation_confidence,hidden_state_method,run_id,review_notes
squad-validation-0,squad_validation_1000,validation,Which NFL team represented the AFC at Super Bowl 50?,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",Denver Broncos,"Denver Broncos.

The context describes the team that represented the",1,,0.7806941937778974,answer_mean,freegpu-squad1000-_kaggle_input_models_google_gemma_transformers_2b-it_3-answermean,
squad-validation-1,squad_validation_1000,train,Which NFL team represented the NFC at Super Bowl 50?,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",Carolina Panthers,"Carolina Panthers.

The context does not specify which NFL team",1,,0.8124013126372647,answer_mean,freegpu-squad1000-_kaggle_input_models_google_gemma_transformers_2b-it_3-answermean,
squad-validation-2,squad_validation_1000,validation,Where did Super Bowl 50 take place?,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","Santa Clara, California | Levi's Stadium | Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",Levi's Stadium in the San Francisco Bay Area at Santa,1,,0.9899114192888325,answer_mean,freegpu-squad1000-_kaggle_input_models_google_gemma_transformers_2b-it_3-answermean,
squad-validation-3,squad_validation_1000,test,Which NFL team won Super Bowl 50?,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",Denver Broncos,"Denver Broncos.

The context describes the team that won the",1,,0.7460579886726381,answer_mean,freegpu-squad1000-_kaggle_input_models_google_gemma_transformers_2b-it_3-answermean,
squad-validation-4,squad_validation_1000,train,What color was used to emphasize the 50th anniversary of the Super Bowl?,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",gold,"Gold.

The context describes the league's emphasis on",1,,0.791345426680875,answer_mean,freegpu-squad1000-_kaggle_input_models_google_gemma_transformers_2b-it_3-answermean,
squad-validation-5,squad_validation_1000,train,What was the theme of Super Bowl 50?,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","""golden anniversary"" | gold-themed | ""golden anniversary","The theme of Super Bowl 50 was the ""golden",0,,0.9850312999093246,answer_mean,freegpu-squad1000-_kaggle_input_models_google_gemma_transformers_2b-it_3-answermean,
squad-validation-6,squad_validation_1000,test,What day was the game played on?,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","February 7, 2016 | February 7","February 7, 2016.

The",1,,0.9673270261981195,answer_mean,freegpu-squad1000-_kaggle_input_models_google_gemma_transformers_2b-it_3-answermean,
squad-validation-7,squad_validation_1000,validation,What is the AFC short for?,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",American Football Conference,"The AFC stands for American Football Conference.

The passage does",1,,0.8180420199411116,answer_mean,freegpu-squad1000-_kaggle_input_models_google_gemma_transformers_2b-it_3-answermean,
squad-validation-8,squad_validation_1000,train,What was the theme of Super Bowl 50?,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","""golden anniversary"" | gold-themed | gold","The theme of Super Bowl 50 was the ""golden",0,,0.9850312999093246,answer_mean,freegpu-squad1000-_kaggle_input_models_google_gemma_transformers_2b-it_3-answermean,
squad-validation-9,squad_validation_1000,train,What does AFC stand for?,"Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24–10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.",American Football Conference,"The answer is ""American Football Conference"".

The context says",1,,0.7507676601156068,answer_mean,freegpu-squad1000-_kaggle_input_models_google_gemma_transformers_2b-it_3-answermean,
