id,dataset,split,question,context,accepted_answers,model_answer,auto_correctness_label,manual_correctness_label,raw_generation_confidence,tcl_v0_probe_confidence,tcl_v0_conservative_confidence,tcl_v0_calibrated_confidence,hidden_state_method,run_id,review_reason,review_notes,changes_aggregate_interpretation
triviaqa-rc.nocontext-validation-284,triviaqa_rc_nocontext_validation_1000,test,What is the acronym for the agency which provides co-operation between police forces worldwide?,,Interpol | International Criminal Police Organisation | International Criminal Police Organization | International Criminal Police Organization – INTERPOL | Interpol (organization) | International Police Conference | International Police Commission | President of Interpol | ICPO-Interpol | International Criminal Police Organization - INTERPOL | International Criminal Police Commission | international criminal police organization interpol | icpo interpol | interpol organization,International Association of Chiefs of Police,0,,0.5864066651131925,0.9122678687266139,0.5864066651131925,0.7373552132689334,answer_mean,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,high_confidence_wrong,needs semantic review; best alias overlap=0.444 (International Police Conference),
triviaqa-rc.nocontext-validation-394,triviaqa_rc_nocontext_validation_1000,test,The Ducati is manufactured in which city and what country?,,"Bologna, Italy | Comune di Bologna | Bolognese | Commune di Bologna | Bulåggna | Bologna | Bolagna | Bologne | UN/LOCODE:ITBLQ | History of Bologna | Felsina | Bologna (Italy) | בולוניה | Bologna italy | un locode itblq","Milan, Italy",0,,0.8800035585476297,0.9022619532317733,0.8800035585476297,0.7337919258075206,answer_mean,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,high_confidence_wrong,"needs semantic review; best alias overlap=0.500 (Bologna, Italy)",
triviaqa-rc.nocontext-validation-445,triviaqa_rc_nocontext_validation_1000,test,Macbeth belonged to which royal house or dynasty?,,House of Dunkeld | House of Canmore | Canmores | Canmore dynasty | MacMalcolm | The Canmores | Dunkeld dynasty,House of Stuart,0,,0.3170575036027961,0.9865568096483023,0.3170575036027961,0.791339846817256,answer_mean,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,high_confidence_wrong,needs semantic review; best alias overlap=0.667 (House of Dunkeld),
triviaqa-rc.nocontext-validation-505,triviaqa_rc_nocontext_validation_1000,test,"In the run up to the 1997 election, Tony Blair outlined his parties' three priorities for office, can you name them?",,"Education, Education, Education | Rt Hon Anthony Blair MP | Tony blair | The Tony Blair Sports Foundation | Antony blair | Tonie Blair | Tony Balir | Rt. Hon Tony Blair | Blairian | Tory Blair | Tony Blairs | Anthony C. L. Blair | Anthony Charles Blair | Tony Blaire | Tony Blair Sports Foundation | Anthony Charles Lynton %22Tony%22 Blair | Family of Tony Blair | Tonyblair | Tony Blear | Anthony (Tony) Blair | Tony Blair's Private life | Tony Blair PM | Tony Bliar | Tony Blaer | Herr Blair | President Blair | Anthony Charles Lynton Blair | Education, education and education | Rt. Hon. Anthony Charles Lynton Blair | Toney Blair | Tony Blari | Blair doctrine | Prime Minister Tony Blair | Tony Blare | education education education | anthony tony blair | rt hon tony blair | anthony charles lynton 22tony 22 blair | anthony c l blair | education education and education | tony blair s private life | rt hon anthony charles lynton blair","economic growth, social justice, and democracy.",0,,0.3552052983266728,0.8370130450562429,0.3552052983266728,0.7157930394413174,answer_mean,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,high_confidence_wrong,"needs semantic review; best alias overlap=0.200 (Education, education and education)",
triviaqa-rc.nocontext-validation-570,triviaqa_rc_nocontext_validation_1000,test,A Cuba Libre is based on which spirit,,Rum | Spiced Rum | Gunpowder Rum | Rum (beverage) | White rum | Jamaica Spirits | Caña blanca | Dark rum | Cuban rum | Jamaica Spirit | Gold rum | Cane spirit | Light rum | Black rum | Rude rum | Hard rum | Overproof rum | Coconut rum | rum beverage,Cuban spirit,0,,0.42918997178126644,0.9987056160480864,0.42918997178126644,0.844896052370776,answer_mean,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,high_confidence_wrong,needs semantic review; best alias overlap=0.500 (Cuban rum),
triviaqa-rc.nocontext-validation-214,triviaqa_rc_nocontext_validation_1000,test,Which crusade was led by Philip II Augustus of France and Richard I of England?,,Third crusade | 3rd Crusade | Kings' Crusade | Kings crusade | Crusade of 1189 | The Third Crusade,Holy Crusade,0,,0.5078754750936906,3.8202273749545104e-05,3.8202273749545104e-05,0.29033030163890405,answer_mean,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,low_confidence_incorrect_sample; raw_vs_conservative_disagreement,needs semantic review; best alias overlap=0.500 (Third crusade),
triviaqa-rc.nocontext-validation-114,triviaqa_rc_nocontext_validation_1000,test,For which movie did Katharine Hepburn win her second Oscar?,,Guess Who's Coming To Dinner | Guess Who's Coming to Dinner%3F | Guess whose coming to dinner | guess who s coming to dinner | guess who s coming to dinner 3f,"""Breakfast at Tiffany's""",0,,0.6232655662012463,0.005403909653660589,0.005403909653660589,0.46734676477250725,answer_mean,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,raw_vs_conservative_disagreement,needs semantic review; best alias overlap=0.200 (Guess Who's Coming To Dinner),
triviaqa-rc.nocontext-validation-159,triviaqa_rc_nocontext_validation_1000,test,Which Palestinian co-founded al Fatah in 1957?,,Yasser Arafat | Yasir Arafat | Yasir 'Arafat | Jassir Arafat | Abu Ammar | Yasser 'Arafat | محمد عبد الرحمن عبد الرؤوف عرفات القدوة الحسيني | Abū %60ammār | Mohammed Abdel Rahman Abdel Raouf Arafat Al Qudua Al Husseini | Yaser Arafat | Mohammed Abdel Rahman Abdel Raouf Arafat al-Qudwa al-Husseini | Ashraf al-Kurdi | Muhammad Abd ar-Rauf al-Qudwah al-Husayni | Abu Amar | Mohammed Abdel-Raouf Arafat As Qudwa al-Hussaeini | Death of yasser arafat | Yasser Arafet | Yassir Arafat | Death of Arafat | Muhammed al-Qudwa al-Husseini | Yasir Arafat (Disambiguation) | Illness of Yasser Arafat | Yassar Arafat | yasir arafat disambiguation | abū 60ammār | muhammed al qudwa al husseini | ashraf al kurdi | muhammad abd ar rauf al qudwah al husayni | mohammed abdel raouf arafat as qudwa al hussaeini | mohammed abdel rahman abdel raouf arafat al qudwa al husseini,Ahmed Yousuf Al-Afghani,0,,0.42003312664080766,9.72516416451925e-05,9.72516416451925e-05,0.32083045655047376,answer_mean,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,raw_vs_conservative_disagreement,needs semantic review; best alias overlap=0.286 (Ashraf al-Kurdi),
triviaqa-rc.nocontext-validation-220,triviaqa_rc_nocontext_validation_1000,test,In which parliament has the UK 87 seats for members who are elected for a five0-year term?,,European Parliament | Common Assembly | European parliment | European Union Parliament | Europarliament | Eu parl | Euro Parliament | EU Parliament | Euparl | Assembly of the European Communities | European Parliamentary | Common Assembly of the European Coal and Steel Community | European Assembly | Parliament of the European Union | The European Parliament | Parliament of the EU | Parliament of Europe | Europarl | Strasbourg Parliament | European Parliamentary Assembly | European Parliament's | Parliament of European Union | European Chamber | assembly of european communities | common assembly of european coal and steel community | parliament of eu | european parliament s,House of Commons,0,,0.7671057953365394,0.03463700008904291,0.03463700008904291,0.5398463020957338,answer_mean,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,raw_vs_conservative_disagreement,needs semantic review; best alias overlap=0.333 (Parliament of the EU),
triviaqa-rc.nocontext-validation-479,triviaqa_rc_nocontext_validation_1000,test,What is the name of CS Lewis' 7 book fantasy?,,The Chronicles of Narnia | Narnia | Narnia series | Chronicle of Narnia | Narnia Chronicles | Narnia books | Chronicles of Narnia | TCoN | Planet Narnia,The Lord of the Rings,0,,0.5453272223369302,0.0001079035394696718,0.0001079035394696718,0.32432639696771337,answer_mean,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,raw_vs_conservative_disagreement,needs semantic review; best alias overlap=0.333 (The Chronicles of Narnia),
