hidden_state_method,hidden_state_layer,signal,n_train,n_validation,n_test,positive_rate_test,test_has_two_classes,weighted,feature_count,p_greater_than_n_train,accuracy_at_0_5,ece,mce,brier,wrong_conf_ge_0_8,wrong_conf_ge_0_9,auc
answer_mean,-1,raw_generation_confidence,650,150,200,0.695,True,False,896,True,0.7,0.15446396260617196,0.5384601989454894,0.20786689246268988,31,11,0.7290954121948343
answer_mean,-1,raw_temperature_scaled_confidence,650,150,200,0.695,True,False,896,True,0.7,0.06065678112265107,0.3694319441704777,0.18814923151974408,9,1,0.7290954121948343
answer_mean,-1,raw_platt_confidence,650,150,200,0.695,True,False,896,True,0.73,0.053603745009323314,0.7445385453193943,0.1861048561235166,10,0,0.7290954121948343
answer_mean,-1,raw_isotonic_confidence,650,150,200,0.695,True,False,896,True,0.73,0.07430263157894731,0.1377551020408163,0.18756859418282548,13,4,0.7338129496402878
answer_mean,-1,raw_platt_conservative_confidence,650,150,200,0.695,True,False,896,True,0.73,0.053603745009323314,0.7445385453193943,0.1861048561235166,10,0,0.7290954121948343
answer_mean,-1,raw_isotonic_conservative_confidence,650,150,200,0.695,True,False,896,True,0.73,0.0730329211614265,0.1377551020408163,0.18749292145203544,13,4,0.7336950112041515
answer_mean,-1,hidden_only_probe_confidence,650,150,200,0.695,True,False,896,True,0.76,0.1982158172842311,0.5877562585061513,0.2153422455135163,25,22,0.7213114754098361
answer_mean,-1,hidden_conservative_confidence,650,150,200,0.695,True,False,896,True,0.76,0.13313395553390994,0.5877562585061513,0.18394941020218744,12,2,0.7974997051539097
answer_mean,-1,raw_plus_hidden_confidence,650,150,200,0.695,True,False,896,True,0.76,0.17611447660895413,0.4617991485347886,0.1954146701178826,22,17,0.7597594055902819
answer_mean,-1,raw_plus_hidden_conservative_confidence,650,150,200,0.695,True,False,896,True,0.76,0.11447457879900942,0.4617991485347886,0.17093818872713418,12,2,0.8271022526241302
answer_mean,-1,probe_score_plus_raw_confidence,650,150,200,0.695,True,False,896,True,0.75,0.19351116224362225,0.5476918616899117,0.21580039724983333,25,22,0.7255572591107442
