hidden_state_method,hidden_state_layer,signal,n_train,n_validation,n_test,positive_rate_test,test_has_two_classes,weighted,feature_count,p_greater_than_n_train,accuracy_at_0_5,ece,mce,brier,wrong_conf_ge_0_8,wrong_conf_ge_0_9,auc
answer_mean,-1,raw_generation_confidence,650,150,200,0.23,True,False,2048,True,0.23,0.5764265596376101,0.6561506953098817,0.4922919812216266,80,19,0.7291078486730661
answer_mean,-1,raw_temperature_scaled_confidence,650,150,200,0.23,True,False,2048,True,0.23,0.273959913573793,0.273959913573793,0.2515867287196561,0,0,0.7291078486730661
answer_mean,-1,raw_platt_confidence,650,150,200,0.23,True,False,2048,True,0.77,0.06387571569254341,0.6925903797885429,0.16761351807073155,0,0,0.7291078486730661
answer_mean,-1,raw_isotonic_confidence,650,150,200,0.23,True,False,2048,True,0.775,0.060590579633132836,0.33333333333333337,0.15977384195149003,1,1,0.708498023715415
answer_mean,-1,raw_platt_conservative_confidence,650,150,200,0.23,True,False,2048,True,0.77,0.06387571569254341,0.6925903797885429,0.16761351807073155,0,0,0.7291078486730661
answer_mean,-1,raw_isotonic_conservative_confidence,650,150,200,0.23,True,False,2048,True,0.775,0.06034522784024651,0.3169765471409115,0.15958401715802686,1,1,0.708498023715415
answer_mean,-1,hidden_only_probe_confidence,650,150,200,0.23,True,False,2048,True,0.765,0.19885863490327277,0.5158026802263348,0.20465239364371524,11,8,0.7639751552795031
answer_mean,-1,hidden_conservative_confidence,650,150,200,0.23,True,False,2048,True,0.765,0.1856155146610592,0.49456354172558226,0.19032408404990814,5,1,0.7676453980801807
answer_mean,-1,raw_plus_hidden_confidence,650,150,200,0.23,True,False,2048,True,0.76,0.19245384450057015,0.5936217300819187,0.2017190906175938,11,9,0.7682100508187465
answer_mean,-1,raw_plus_hidden_conservative_confidence,650,150,200,0.23,True,False,2048,True,0.76,0.17564961994899358,0.5779110862494827,0.18826851083596363,5,2,0.7727272727272727
answer_mean,-1,probe_score_plus_raw_confidence,650,150,200,0.23,True,False,2048,True,0.76,0.1718893343691525,0.571676821420485,0.19475738616863927,9,7,0.7683512140033879
