id,dataset,split,question,context,accepted_answers,model_answer,auto_correctness_label,manual_correctness_label,raw_generation_confidence,hidden_state_method,run_id,review_notes
triviaqa-rc.nocontext-validation-0,triviaqa_rc_nocontext_validation_1000,validation,Who was the man behind The Chipmunks?,,David Seville,Ross Bagdasarian Jr.,0,,0.9133156245025648,answer_mean,freegpu-triviaqa1000-microsoft_Phi-3.5-mini-instruct-answermean,
triviaqa-rc.nocontext-validation-1,triviaqa_rc_nocontext_validation_1000,train,Which Lloyd Webber musical premiered in the US on 10th December 1993?,,Sunset Boulevard | Sunset Blvd | West Sunset Boulevard | Sunset Bulevard | Sunset Blvd.,Cats,0,,0.8828462269568729,answer_mean,freegpu-triviaqa1000-microsoft_Phi-3.5-mini-instruct-answermean,
triviaqa-rc.nocontext-validation-2,triviaqa_rc_nocontext_validation_1000,validation,Who was the next British Prime Minister after Arthur Balfour?,,Campbell-Bannerman | Sir Henry Campbell-Bannerman | Campbell Bannerman | Sir Henry Campbell Bannerman | Henry Campbell Bannerman | Henry Campbell-Bannerman,David Lloyd George,0,,0.962511415337175,answer_mean,freegpu-triviaqa1000-microsoft_Phi-3.5-mini-instruct-answermean,
triviaqa-rc.nocontext-validation-3,triviaqa_rc_nocontext_validation_1000,test,Who had a 70s No 1 hit with Kiss You All Over?,,Exile | Internal exile | Exiles | Transported for life | Exile (politics and government) | Voluntary exile | Sent into exile | Exile and Banishment | Self-exile | Forced exile | Exile in Greek tragedy | Banish | Banishment | self exile | exile politics and government,Bananarama,0,,0.8195345015521184,answer_mean,freegpu-triviaqa1000-microsoft_Phi-3.5-mini-instruct-answermean,
triviaqa-rc.nocontext-validation-4,triviaqa_rc_nocontext_validation_1000,train,What claimed the life of singer Kathleen Ferrier?,,Cancer | Cancer pathology | Deaths by cancer | Anti-cancer | Cancer (disease) | Cancerophobia | Malignant lesion | Cancer medication | Malignant tumors | Cancer signs | Malignant neoplasm | Invasive (cancer) | Malignant Neoplasms | Malignant growth | Sporadic cancer | Malignant cancer | Tumour virus | Cancer en cuirasse | Microtumor | Malignant tumour | Carcinophobia | Malignacy | Cancer patient | Epithelial cancers | Solid cancer | Cancers | Tumor medication | Malignant neoplastic disease | AIDS-related cancer | Invasive cancer | Cancer therapy | Cancerous tumor | Financial toxicity | Cancer diagnosis | Cancer (medicine) | Malignant tumor | Cancerous | Borderline (cancer) | Signs of cancer | Malignancies | Cancer aromatase | aids related cancer | cancer disease | cancer medicine | borderline cancer | anti cancer,"Pulmonary embolism

(Note: Kath",0,,0.7097655848659506,answer_mean,freegpu-triviaqa1000-microsoft_Phi-3.5-mini-instruct-answermean,
triviaqa-rc.nocontext-validation-5,triviaqa_rc_nocontext_validation_1000,train,Rita Coolidge sang the title song for which Bond film?,,Octopussy | Kamal kahn | List of Bond girls in Octopussy | Magda (James Bond) | List of James Bond allies in Octopussy | Vijay (James Bond) | Bond 13 | Octopussy (character) | Penelope Smallbone | General Orlov | Kamal Khan | Octopussy (film) | List of James Bond villains in Octopussy | Jim Fanning (James Bond) | magda james bond | vijay james bond | jim fanning james bond | octopussy character | octopussy film,On Her Majesty's Secret Service,0,,0.8728373956430401,answer_mean,freegpu-triviaqa1000-microsoft_Phi-3.5-mini-instruct-answermean,
triviaqa-rc.nocontext-validation-6,triviaqa_rc_nocontext_validation_1000,test,What was the last US state to reintroduce alcohol after prohibition?,,"Utah | Utah (State) | Forty-Fifth State | Sports in Utah | Climate of Utah | Education in Utah | UT (state) | Utahn | Yutas | Geography of Utah | Utah, United States | Utah state nickname | History of mining in Utah | State of Utah | Religion in Utah | Utah (U.S. state) | Transportation in Utah | Beehive State | US-UT | Utahan | Politics of Utah | Salt Lake Seagulls | 45th State | History of Utah (to 1847) | The Beehive State | Youtah | Transport in Utah | utah united states | us ut | utah state | forty fifth state | ut state | history of utah to 1847 | utah u s state",Wyoming in 1923,0,,0.8586373608072836,answer_mean,freegpu-triviaqa1000-microsoft_Phi-3.5-mini-instruct-answermean,
triviaqa-rc.nocontext-validation-7,triviaqa_rc_nocontext_validation_1000,validation,Which actress was voted Miss Greenwich Village in 1942?,,Lauren Bacall | Bacall | Lauren Becal | Lauren Becall | Betty J. Perske | Loren Bacall | Betty Joan Perske | Betty Perske | Betty Joan Perski | betty j perske,Audrey Hepburn,0,,0.7774844767423493,answer_mean,freegpu-triviaqa1000-microsoft_Phi-3.5-mini-instruct-answermean,
triviaqa-rc.nocontext-validation-8,triviaqa_rc_nocontext_validation_1000,train,What is the Japanese share index called?,,Nikkei | Nikkei (disambiguation) | nikkei disambiguation,Nikkei 225,1,,0.9967270928413008,answer_mean,freegpu-triviaqa1000-microsoft_Phi-3.5-mini-instruct-answermean,
triviaqa-rc.nocontext-validation-9,triviaqa_rc_nocontext_validation_1000,train,What was the name of Michael Jackson's autobiography written in 1988?,,Moonwalk | Walk on the Moon | Moonwalk (disambiguation) | Lunar walks | Moon Walk | Moonwalking | Lunar walk | Moonwalks | Moon walks | Lunar walking | Moon walking | moonwalk disambiguation | walk on moon,Dancing the Dream,0,,0.7681951267108975,answer_mean,freegpu-triviaqa1000-microsoft_Phi-3.5-mini-instruct-answermean,
