id,split,hidden_state_method
squad-validation-1,train,answer_mean
squad-validation-4,train,answer_mean
squad-validation-5,train,answer_mean
squad-validation-8,train,answer_mean
squad-validation-9,train,answer_mean
squad-validation-10,train,answer_mean
squad-validation-12,train,answer_mean
squad-validation-13,train,answer_mean
squad-validation-14,train,answer_mean
squad-validation-16,train,answer_mean
squad-validation-17,train,answer_mean
squad-validation-18,train,answer_mean
squad-validation-20,train,answer_mean
squad-validation-22,train,answer_mean
squad-validation-23,train,answer_mean
squad-validation-24,train,answer_mean
squad-validation-26,train,answer_mean
squad-validation-28,train,answer_mean
squad-validation-29,train,answer_mean
squad-validation-31,train,answer_mean
squad-validation-33,train,answer_mean
squad-validation-34,train,answer_mean
squad-validation-35,train,answer_mean
squad-validation-36,train,answer_mean
squad-validation-37,train,answer_mean
squad-validation-38,train,answer_mean
squad-validation-39,train,answer_mean
squad-validation-40,train,answer_mean
squad-validation-41,train,answer_mean
squad-validation-42,train,answer_mean
squad-validation-43,train,answer_mean
squad-validation-45,train,answer_mean
squad-validation-47,train,answer_mean
squad-validation-49,train,answer_mean
squad-validation-50,train,answer_mean
squad-validation-52,train,answer_mean
squad-validation-53,train,answer_mean
squad-validation-54,train,answer_mean
squad-validation-56,train,answer_mean
squad-validation-58,train,answer_mean
squad-validation-61,train,answer_mean
squad-validation-63,train,answer_mean
squad-validation-64,train,answer_mean
squad-validation-66,train,answer_mean
squad-validation-68,train,answer_mean
squad-validation-74,train,answer_mean
squad-validation-75,train,answer_mean
squad-validation-76,train,answer_mean
squad-validation-78,train,answer_mean
squad-validation-79,train,answer_mean
squad-validation-82,train,answer_mean
squad-validation-83,train,answer_mean
squad-validation-84,train,answer_mean
squad-validation-85,train,answer_mean
squad-validation-86,train,answer_mean
squad-validation-88,train,answer_mean
squad-validation-90,train,answer_mean
squad-validation-91,train,answer_mean
squad-validation-92,train,answer_mean
squad-validation-97,train,answer_mean
squad-validation-98,train,answer_mean
squad-validation-101,train,answer_mean
squad-validation-102,train,answer_mean
squad-validation-105,train,answer_mean
squad-validation-106,train,answer_mean
squad-validation-107,train,answer_mean
squad-validation-109,train,answer_mean
squad-validation-110,train,answer_mean
squad-validation-113,train,answer_mean
squad-validation-115,train,answer_mean
squad-validation-116,train,answer_mean
squad-validation-118,train,answer_mean
squad-validation-119,train,answer_mean
squad-validation-120,train,answer_mean
squad-validation-121,train,answer_mean
squad-validation-122,train,answer_mean
squad-validation-124,train,answer_mean
squad-validation-125,train,answer_mean
squad-validation-126,train,answer_mean
squad-validation-129,train,answer_mean
squad-validation-130,train,answer_mean
squad-validation-132,train,answer_mean
squad-validation-133,train,answer_mean
squad-validation-134,train,answer_mean
squad-validation-136,train,answer_mean
squad-validation-137,train,answer_mean
squad-validation-138,train,answer_mean
squad-validation-139,train,answer_mean
squad-validation-140,train,answer_mean
squad-validation-144,train,answer_mean
squad-validation-145,train,answer_mean
squad-validation-147,train,answer_mean
squad-validation-148,train,answer_mean
squad-validation-149,train,answer_mean
squad-validation-150,train,answer_mean
squad-validation-151,train,answer_mean
squad-validation-152,train,answer_mean
squad-validation-153,train,answer_mean
squad-validation-154,train,answer_mean
squad-validation-155,train,answer_mean
squad-validation-157,train,answer_mean
squad-validation-158,train,answer_mean
squad-validation-160,train,answer_mean
squad-validation-162,train,answer_mean
squad-validation-164,train,answer_mean
squad-validation-171,train,answer_mean
squad-validation-172,train,answer_mean
squad-validation-173,train,answer_mean
squad-validation-174,train,answer_mean
squad-validation-176,train,answer_mean
squad-validation-177,train,answer_mean
squad-validation-178,train,answer_mean
squad-validation-179,train,answer_mean
squad-validation-180,train,answer_mean
squad-validation-181,train,answer_mean
squad-validation-183,train,answer_mean
squad-validation-184,train,answer_mean
squad-validation-185,train,answer_mean
squad-validation-186,train,answer_mean
squad-validation-188,train,answer_mean
squad-validation-189,train,answer_mean
squad-validation-190,train,answer_mean
squad-validation-191,train,answer_mean
squad-validation-192,train,answer_mean
squad-validation-193,train,answer_mean
squad-validation-195,train,answer_mean
squad-validation-197,train,answer_mean
squad-validation-198,train,answer_mean
squad-validation-199,train,answer_mean
squad-validation-200,train,answer_mean
squad-validation-201,train,answer_mean
squad-validation-202,train,answer_mean
squad-validation-204,train,answer_mean
squad-validation-206,train,answer_mean
squad-validation-207,train,answer_mean
squad-validation-208,train,answer_mean
squad-validation-209,train,answer_mean
squad-validation-210,train,answer_mean
squad-validation-211,train,answer_mean
squad-validation-212,train,answer_mean
squad-validation-213,train,answer_mean
squad-validation-215,train,answer_mean
squad-validation-221,train,answer_mean
squad-validation-222,train,answer_mean
squad-validation-226,train,answer_mean
squad-validation-227,train,answer_mean
squad-validation-229,train,answer_mean
squad-validation-231,train,answer_mean
squad-validation-232,train,answer_mean
squad-validation-236,train,answer_mean
squad-validation-237,train,answer_mean
squad-validation-239,train,answer_mean
squad-validation-240,train,answer_mean
squad-validation-241,train,answer_mean
squad-validation-244,train,answer_mean
squad-validation-247,train,answer_mean
squad-validation-249,train,answer_mean
squad-validation-251,train,answer_mean
squad-validation-256,train,answer_mean
squad-validation-258,train,answer_mean
squad-validation-259,train,answer_mean
squad-validation-260,train,answer_mean
squad-validation-261,train,answer_mean
squad-validation-262,train,answer_mean
squad-validation-263,train,answer_mean
squad-validation-264,train,answer_mean
squad-validation-265,train,answer_mean
squad-validation-266,train,answer_mean
squad-validation-267,train,answer_mean
squad-validation-268,train,answer_mean
squad-validation-272,train,answer_mean
squad-validation-275,train,answer_mean
squad-validation-277,train,answer_mean
squad-validation-278,train,answer_mean
squad-validation-279,train,answer_mean
squad-validation-280,train,answer_mean
squad-validation-282,train,answer_mean
squad-validation-283,train,answer_mean
squad-validation-286,train,answer_mean
squad-validation-287,train,answer_mean
squad-validation-288,train,answer_mean
squad-validation-289,train,answer_mean
squad-validation-290,train,answer_mean
squad-validation-291,train,answer_mean
squad-validation-293,train,answer_mean
squad-validation-294,train,answer_mean
squad-validation-295,train,answer_mean
squad-validation-297,train,answer_mean
squad-validation-298,train,answer_mean
squad-validation-299,train,answer_mean
squad-validation-301,train,answer_mean
squad-validation-302,train,answer_mean
squad-validation-303,train,answer_mean
squad-validation-304,train,answer_mean
squad-validation-306,train,answer_mean
squad-validation-307,train,answer_mean
squad-validation-308,train,answer_mean
squad-validation-309,train,answer_mean
squad-validation-310,train,answer_mean
squad-validation-311,train,answer_mean
squad-validation-312,train,answer_mean
squad-validation-313,train,answer_mean
squad-validation-315,train,answer_mean
squad-validation-316,train,answer_mean
squad-validation-317,train,answer_mean
squad-validation-318,train,answer_mean
squad-validation-320,train,answer_mean
squad-validation-321,train,answer_mean
squad-validation-324,train,answer_mean
squad-validation-325,train,answer_mean
squad-validation-326,train,answer_mean
squad-validation-327,train,answer_mean
squad-validation-328,train,answer_mean
squad-validation-329,train,answer_mean
squad-validation-330,train,answer_mean
squad-validation-333,train,answer_mean
squad-validation-334,train,answer_mean
squad-validation-335,train,answer_mean
squad-validation-336,train,answer_mean
squad-validation-337,train,answer_mean
squad-validation-339,train,answer_mean
squad-validation-340,train,answer_mean
squad-validation-341,train,answer_mean
squad-validation-342,train,answer_mean
squad-validation-343,train,answer_mean
squad-validation-345,train,answer_mean
squad-validation-349,train,answer_mean
squad-validation-350,train,answer_mean
squad-validation-351,train,answer_mean
squad-validation-353,train,answer_mean
squad-validation-354,train,answer_mean
squad-validation-355,train,answer_mean
squad-validation-356,train,answer_mean
squad-validation-357,train,answer_mean
squad-validation-358,train,answer_mean
squad-validation-359,train,answer_mean
squad-validation-360,train,answer_mean
squad-validation-361,train,answer_mean
squad-validation-364,train,answer_mean
squad-validation-365,train,answer_mean
squad-validation-366,train,answer_mean
squad-validation-368,train,answer_mean
squad-validation-369,train,answer_mean
squad-validation-372,train,answer_mean
squad-validation-374,train,answer_mean
squad-validation-375,train,answer_mean
squad-validation-376,train,answer_mean
squad-validation-377,train,answer_mean
squad-validation-378,train,answer_mean
squad-validation-380,train,answer_mean
squad-validation-381,train,answer_mean
squad-validation-383,train,answer_mean
squad-validation-384,train,answer_mean
squad-validation-385,train,answer_mean
squad-validation-386,train,answer_mean
squad-validation-391,train,answer_mean
squad-validation-392,train,answer_mean
squad-validation-393,train,answer_mean
squad-validation-395,train,answer_mean
squad-validation-396,train,answer_mean
squad-validation-397,train,answer_mean
squad-validation-398,train,answer_mean
squad-validation-400,train,answer_mean
squad-validation-401,train,answer_mean
squad-validation-402,train,answer_mean
squad-validation-403,train,answer_mean
squad-validation-404,train,answer_mean
squad-validation-406,train,answer_mean
squad-validation-407,train,answer_mean
squad-validation-409,train,answer_mean
squad-validation-411,train,answer_mean
squad-validation-413,train,answer_mean
squad-validation-414,train,answer_mean
squad-validation-415,train,answer_mean
squad-validation-417,train,answer_mean
squad-validation-418,train,answer_mean
squad-validation-419,train,answer_mean
squad-validation-421,train,answer_mean
squad-validation-422,train,answer_mean
squad-validation-423,train,answer_mean
squad-validation-424,train,answer_mean
squad-validation-425,train,answer_mean
squad-validation-426,train,answer_mean
squad-validation-427,train,answer_mean
squad-validation-428,train,answer_mean
squad-validation-430,train,answer_mean
squad-validation-431,train,answer_mean
squad-validation-434,train,answer_mean
squad-validation-435,train,answer_mean
squad-validation-436,train,answer_mean
squad-validation-437,train,answer_mean
squad-validation-439,train,answer_mean
squad-validation-440,train,answer_mean
squad-validation-442,train,answer_mean
squad-validation-443,train,answer_mean
squad-validation-444,train,answer_mean
squad-validation-446,train,answer_mean
squad-validation-447,train,answer_mean
squad-validation-449,train,answer_mean
squad-validation-450,train,answer_mean
squad-validation-451,train,answer_mean
squad-validation-452,train,answer_mean
squad-validation-454,train,answer_mean
squad-validation-455,train,answer_mean
squad-validation-456,train,answer_mean
squad-validation-457,train,answer_mean
squad-validation-458,train,answer_mean
squad-validation-460,train,answer_mean
squad-validation-461,train,answer_mean
squad-validation-463,train,answer_mean
squad-validation-466,train,answer_mean
squad-validation-467,train,answer_mean
squad-validation-468,train,answer_mean
squad-validation-471,train,answer_mean
squad-validation-472,train,answer_mean
squad-validation-474,train,answer_mean
squad-validation-475,train,answer_mean
squad-validation-476,train,answer_mean
squad-validation-477,train,answer_mean
squad-validation-480,train,answer_mean
squad-validation-481,train,answer_mean
squad-validation-482,train,answer_mean
squad-validation-483,train,answer_mean
squad-validation-485,train,answer_mean
squad-validation-487,train,answer_mean
squad-validation-488,train,answer_mean
squad-validation-489,train,answer_mean
squad-validation-490,train,answer_mean
squad-validation-491,train,answer_mean
squad-validation-493,train,answer_mean
squad-validation-494,train,answer_mean
squad-validation-495,train,answer_mean
squad-validation-496,train,answer_mean
squad-validation-499,train,answer_mean
squad-validation-501,train,answer_mean
squad-validation-502,train,answer_mean
squad-validation-503,train,answer_mean
squad-validation-504,train,answer_mean
squad-validation-506,train,answer_mean
squad-validation-507,train,answer_mean
squad-validation-508,train,answer_mean
squad-validation-509,train,answer_mean
squad-validation-510,train,answer_mean
squad-validation-513,train,answer_mean
squad-validation-514,train,answer_mean
squad-validation-515,train,answer_mean
squad-validation-516,train,answer_mean
squad-validation-518,train,answer_mean
squad-validation-520,train,answer_mean
squad-validation-522,train,answer_mean
squad-validation-523,train,answer_mean
squad-validation-524,train,answer_mean
squad-validation-525,train,answer_mean
squad-validation-527,train,answer_mean
squad-validation-528,train,answer_mean
squad-validation-530,train,answer_mean
squad-validation-531,train,answer_mean
squad-validation-532,train,answer_mean
squad-validation-533,train,answer_mean
squad-validation-534,train,answer_mean
squad-validation-535,train,answer_mean
squad-validation-536,train,answer_mean
squad-validation-537,train,answer_mean
squad-validation-538,train,answer_mean
squad-validation-539,train,answer_mean
squad-validation-542,train,answer_mean
squad-validation-544,train,answer_mean
squad-validation-547,train,answer_mean
squad-validation-548,train,answer_mean
squad-validation-550,train,answer_mean
squad-validation-554,train,answer_mean
squad-validation-555,train,answer_mean
squad-validation-556,train,answer_mean
squad-validation-557,train,answer_mean
squad-validation-559,train,answer_mean
squad-validation-560,train,answer_mean
squad-validation-561,train,answer_mean
squad-validation-564,train,answer_mean
squad-validation-568,train,answer_mean
squad-validation-571,train,answer_mean
squad-validation-572,train,answer_mean
squad-validation-573,train,answer_mean
squad-validation-575,train,answer_mean
squad-validation-576,train,answer_mean
squad-validation-577,train,answer_mean
squad-validation-578,train,answer_mean
squad-validation-579,train,answer_mean
squad-validation-581,train,answer_mean
squad-validation-582,train,answer_mean
squad-validation-583,train,answer_mean
squad-validation-585,train,answer_mean
squad-validation-586,train,answer_mean
squad-validation-587,train,answer_mean
squad-validation-588,train,answer_mean
squad-validation-589,train,answer_mean
squad-validation-592,train,answer_mean
squad-validation-593,train,answer_mean
squad-validation-594,train,answer_mean
squad-validation-595,train,answer_mean
squad-validation-596,train,answer_mean
squad-validation-599,train,answer_mean
squad-validation-600,train,answer_mean
squad-validation-601,train,answer_mean
squad-validation-605,train,answer_mean
squad-validation-606,train,answer_mean
squad-validation-607,train,answer_mean
squad-validation-608,train,answer_mean
squad-validation-609,train,answer_mean
squad-validation-611,train,answer_mean
squad-validation-612,train,answer_mean
squad-validation-614,train,answer_mean
squad-validation-615,train,answer_mean
squad-validation-617,train,answer_mean
squad-validation-619,train,answer_mean
squad-validation-620,train,answer_mean
squad-validation-622,train,answer_mean
squad-validation-624,train,answer_mean
squad-validation-625,train,answer_mean
squad-validation-626,train,answer_mean
squad-validation-627,train,answer_mean
squad-validation-628,train,answer_mean
squad-validation-629,train,answer_mean
squad-validation-630,train,answer_mean
squad-validation-631,train,answer_mean
squad-validation-632,train,answer_mean
squad-validation-634,train,answer_mean
squad-validation-635,train,answer_mean
squad-validation-636,train,answer_mean
squad-validation-637,train,answer_mean
squad-validation-638,train,answer_mean
squad-validation-639,train,answer_mean
squad-validation-641,train,answer_mean
squad-validation-644,train,answer_mean
squad-validation-645,train,answer_mean
squad-validation-647,train,answer_mean
squad-validation-648,train,answer_mean
squad-validation-649,train,answer_mean
squad-validation-651,train,answer_mean
squad-validation-652,train,answer_mean
squad-validation-653,train,answer_mean
squad-validation-657,train,answer_mean
squad-validation-659,train,answer_mean
squad-validation-660,train,answer_mean
squad-validation-662,train,answer_mean
squad-validation-664,train,answer_mean
squad-validation-666,train,answer_mean
squad-validation-668,train,answer_mean
squad-validation-670,train,answer_mean
squad-validation-672,train,answer_mean
squad-validation-673,train,answer_mean
squad-validation-676,train,answer_mean
squad-validation-678,train,answer_mean
squad-validation-679,train,answer_mean
squad-validation-680,train,answer_mean
squad-validation-681,train,answer_mean
squad-validation-682,train,answer_mean
squad-validation-683,train,answer_mean
squad-validation-684,train,answer_mean
squad-validation-688,train,answer_mean
squad-validation-690,train,answer_mean
squad-validation-691,train,answer_mean
squad-validation-693,train,answer_mean
squad-validation-694,train,answer_mean
squad-validation-695,train,answer_mean
squad-validation-697,train,answer_mean
squad-validation-700,train,answer_mean
squad-validation-702,train,answer_mean
squad-validation-703,train,answer_mean
squad-validation-707,train,answer_mean
squad-validation-708,train,answer_mean
squad-validation-710,train,answer_mean
squad-validation-711,train,answer_mean
squad-validation-712,train,answer_mean
squad-validation-713,train,answer_mean
squad-validation-716,train,answer_mean
squad-validation-719,train,answer_mean
squad-validation-720,train,answer_mean
squad-validation-722,train,answer_mean
squad-validation-723,train,answer_mean
squad-validation-726,train,answer_mean
squad-validation-727,train,answer_mean
squad-validation-729,train,answer_mean
squad-validation-731,train,answer_mean
squad-validation-732,train,answer_mean
squad-validation-737,train,answer_mean
squad-validation-740,train,answer_mean
squad-validation-741,train,answer_mean
squad-validation-742,train,answer_mean
squad-validation-743,train,answer_mean
squad-validation-744,train,answer_mean
squad-validation-745,train,answer_mean
squad-validation-748,train,answer_mean
squad-validation-750,train,answer_mean
squad-validation-752,train,answer_mean
squad-validation-756,train,answer_mean
squad-validation-757,train,answer_mean
squad-validation-760,train,answer_mean
squad-validation-761,train,answer_mean
squad-validation-763,train,answer_mean
squad-validation-765,train,answer_mean
squad-validation-766,train,answer_mean
squad-validation-769,train,answer_mean
squad-validation-770,train,answer_mean
squad-validation-771,train,answer_mean
squad-validation-772,train,answer_mean
squad-validation-774,train,answer_mean
squad-validation-775,train,answer_mean
squad-validation-776,train,answer_mean
squad-validation-778,train,answer_mean
squad-validation-779,train,answer_mean
squad-validation-782,train,answer_mean
squad-validation-783,train,answer_mean
squad-validation-785,train,answer_mean
squad-validation-788,train,answer_mean
squad-validation-789,train,answer_mean
squad-validation-790,train,answer_mean
squad-validation-792,train,answer_mean
squad-validation-793,train,answer_mean
squad-validation-795,train,answer_mean
squad-validation-797,train,answer_mean
squad-validation-799,train,answer_mean
squad-validation-800,train,answer_mean
squad-validation-801,train,answer_mean
squad-validation-802,train,answer_mean
squad-validation-803,train,answer_mean
squad-validation-804,train,answer_mean
squad-validation-805,train,answer_mean
squad-validation-806,train,answer_mean
squad-validation-807,train,answer_mean
squad-validation-809,train,answer_mean
squad-validation-810,train,answer_mean
squad-validation-812,train,answer_mean
squad-validation-813,train,answer_mean
squad-validation-815,train,answer_mean
squad-validation-816,train,answer_mean
squad-validation-817,train,answer_mean
squad-validation-818,train,answer_mean
squad-validation-819,train,answer_mean
squad-validation-820,train,answer_mean
squad-validation-821,train,answer_mean
squad-validation-822,train,answer_mean
squad-validation-823,train,answer_mean
squad-validation-832,train,answer_mean
squad-validation-833,train,answer_mean
squad-validation-835,train,answer_mean
squad-validation-836,train,answer_mean
squad-validation-837,train,answer_mean
squad-validation-838,train,answer_mean
squad-validation-839,train,answer_mean
squad-validation-840,train,answer_mean
squad-validation-842,train,answer_mean
squad-validation-843,train,answer_mean
squad-validation-845,train,answer_mean
squad-validation-846,train,answer_mean
squad-validation-847,train,answer_mean
squad-validation-848,train,answer_mean
squad-validation-850,train,answer_mean
squad-validation-851,train,answer_mean
squad-validation-852,train,answer_mean
squad-validation-853,train,answer_mean
squad-validation-856,train,answer_mean
squad-validation-857,train,answer_mean
squad-validation-858,train,answer_mean
squad-validation-859,train,answer_mean
squad-validation-860,train,answer_mean
squad-validation-861,train,answer_mean
squad-validation-862,train,answer_mean
squad-validation-864,train,answer_mean
squad-validation-868,train,answer_mean
squad-validation-870,train,answer_mean
squad-validation-871,train,answer_mean
squad-validation-873,train,answer_mean
squad-validation-876,train,answer_mean
squad-validation-877,train,answer_mean
squad-validation-878,train,answer_mean
squad-validation-879,train,answer_mean
squad-validation-880,train,answer_mean
squad-validation-883,train,answer_mean
squad-validation-884,train,answer_mean
squad-validation-885,train,answer_mean
squad-validation-888,train,answer_mean
squad-validation-889,train,answer_mean
squad-validation-891,train,answer_mean
squad-validation-892,train,answer_mean
squad-validation-893,train,answer_mean
squad-validation-895,train,answer_mean
squad-validation-896,train,answer_mean
squad-validation-898,train,answer_mean
squad-validation-900,train,answer_mean
squad-validation-901,train,answer_mean
squad-validation-902,train,answer_mean
squad-validation-903,train,answer_mean
squad-validation-904,train,answer_mean
squad-validation-905,train,answer_mean
squad-validation-909,train,answer_mean
squad-validation-910,train,answer_mean
squad-validation-911,train,answer_mean
squad-validation-914,train,answer_mean
squad-validation-915,train,answer_mean
squad-validation-916,train,answer_mean
squad-validation-917,train,answer_mean
squad-validation-918,train,answer_mean
squad-validation-919,train,answer_mean
squad-validation-920,train,answer_mean
squad-validation-921,train,answer_mean
squad-validation-922,train,answer_mean
squad-validation-924,train,answer_mean
squad-validation-926,train,answer_mean
squad-validation-927,train,answer_mean
squad-validation-928,train,answer_mean
squad-validation-929,train,answer_mean
squad-validation-932,train,answer_mean
squad-validation-934,train,answer_mean
squad-validation-935,train,answer_mean
squad-validation-937,train,answer_mean
squad-validation-939,train,answer_mean
squad-validation-940,train,answer_mean
squad-validation-941,train,answer_mean
