id,dataset,split,question,context,accepted_answers,model_answer,auto_correctness_label,manual_correctness_label,raw_generation_confidence,tcl_v0_probe_confidence,tcl_v0_conservative_confidence,tcl_v0_calibrated_confidence,hidden_state_method,run_id,review_reason,review_notes,changes_aggregate_interpretation
triviaqa-rc.nocontext-validation-234,triviaqa_rc_nocontext_validation_1000,test,What is the fastest animal on two legs?,,An Ostrich | Ostrich farms | Ostrich Egg | Ostriches | Struthio camelus | Ostrage | Common Ostrich | Ostrich farming | Masai Ostrich | Ostritch | Osterich | Ostrish | Struthious | Osterish | Ostrich | Ostrich farm | Ostridge | Ostrich Racing | Ostrich race | Ostrich meat | Ostrich farmer,Giraffe,0,0,0.5345469071078418,0.9988746359412748,0.5345469071078418,0.8477007444732376,answer_mean,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,high_confidence_wrong,assistant-assisted no lexical overlap with accepted aliases,no
triviaqa-rc.nocontext-validation-284,triviaqa_rc_nocontext_validation_1000,test,What is the acronym for the agency which provides co-operation between police forces worldwide?,,Interpol | International Criminal Police Organisation | International Criminal Police Organization | International Criminal Police Organization – INTERPOL | Interpol (organization) | International Police Conference | International Police Commission | President of Interpol | ICPO-Interpol | International Criminal Police Organization - INTERPOL | International Criminal Police Commission | international criminal police organization interpol | icpo interpol | interpol organization,International Association of Chiefs of Police,0,,0.5864066651131925,0.9122678687266139,0.5864066651131925,0.7373552132689334,answer_mean,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,high_confidence_wrong,needs semantic review; best alias overlap=0.444 (International Police Conference),
triviaqa-rc.nocontext-validation-387,triviaqa_rc_nocontext_validation_1000,test,"During Margaret Thatcher's years as Prime Minister, there were three Chancellors of the Exchequer. Geoffrey Howe and Nigel Lawson were two, but who was the other one?",,"John Major | Major, John | Premiership of John Major | Major administration | Majorism | Bastardgate | Major, John Roy | John Roy Major | major john | major john roy",David Cameron,0,0,0.2781552630672728,0.947719453495098,0.2781552630672728,0.7535818901872054,answer_mean,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,high_confidence_wrong,assistant-assisted no lexical overlap with accepted aliases,no
triviaqa-rc.nocontext-validation-394,triviaqa_rc_nocontext_validation_1000,test,The Ducati is manufactured in which city and what country?,,"Bologna, Italy | Comune di Bologna | Bolognese | Commune di Bologna | Bulåggna | Bologna | Bolagna | Bologne | UN/LOCODE:ITBLQ | History of Bologna | Felsina | Bologna (Italy) | בולוניה | Bologna italy | un locode itblq","Milan, Italy",0,,0.8800035585476297,0.9022619532317733,0.8800035585476297,0.7337919258075206,answer_mean,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,high_confidence_wrong,"needs semantic review; best alias overlap=0.500 (Bologna, Italy)",
triviaqa-rc.nocontext-validation-445,triviaqa_rc_nocontext_validation_1000,test,Macbeth belonged to which royal house or dynasty?,,House of Dunkeld | House of Canmore | Canmores | Canmore dynasty | MacMalcolm | The Canmores | Dunkeld dynasty,House of Stuart,0,,0.3170575036027961,0.9865568096483023,0.3170575036027961,0.791339846817256,answer_mean,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,high_confidence_wrong,needs semantic review; best alias overlap=0.667 (House of Dunkeld),
triviaqa-rc.nocontext-validation-505,triviaqa_rc_nocontext_validation_1000,test,"In the run up to the 1997 election, Tony Blair outlined his parties' three priorities for office, can you name them?",,"Education, Education, Education | Rt Hon Anthony Blair MP | Tony blair | The Tony Blair Sports Foundation | Antony blair | Tonie Blair | Tony Balir | Rt. Hon Tony Blair | Blairian | Tory Blair | Tony Blairs | Anthony C. L. Blair | Anthony Charles Blair | Tony Blaire | Tony Blair Sports Foundation | Anthony Charles Lynton %22Tony%22 Blair | Family of Tony Blair | Tonyblair | Tony Blear | Anthony (Tony) Blair | Tony Blair's Private life | Tony Blair PM | Tony Bliar | Tony Blaer | Herr Blair | President Blair | Anthony Charles Lynton Blair | Education, education and education | Rt. Hon. Anthony Charles Lynton Blair | Toney Blair | Tony Blari | Blair doctrine | Prime Minister Tony Blair | Tony Blare | education education education | anthony tony blair | rt hon tony blair | anthony charles lynton 22tony 22 blair | anthony c l blair | education education and education | tony blair s private life | rt hon anthony charles lynton blair","economic growth, social justice, and democracy.",0,,0.3552052983266728,0.8370130450562429,0.3552052983266728,0.7157930394413174,answer_mean,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,high_confidence_wrong,"needs semantic review; best alias overlap=0.200 (Education, education and education)",
triviaqa-rc.nocontext-validation-570,triviaqa_rc_nocontext_validation_1000,test,A Cuba Libre is based on which spirit,,Rum | Spiced Rum | Gunpowder Rum | Rum (beverage) | White rum | Jamaica Spirits | Caña blanca | Dark rum | Cuban rum | Jamaica Spirit | Gold rum | Cane spirit | Light rum | Black rum | Rude rum | Hard rum | Overproof rum | Coconut rum | rum beverage,Cuban spirit,0,,0.42918997178126644,0.9987056160480864,0.42918997178126644,0.844896052370776,answer_mean,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,high_confidence_wrong,needs semantic review; best alias overlap=0.500 (Cuban rum),
triviaqa-rc.nocontext-validation-623,triviaqa_rc_nocontext_validation_1000,test,"Which Roman Emperor was allegedy killed by his wife, Aggripina, in AD54?",,"Claudius | Emperor Claudius in fiction | Emperor Claudius I | Tiberius Drusus Nero | Claudius, Roman emperor | Tiberius Claudius Drusus Nero Germanicus | Tiberius Claudius Nero Germanicus | Claudius in popular culture | Tiberias Germanicus | Tiberius Claudius Caesar Augustus Germanicus | Tiberius Drusus Claudius I | Tiberius Claudius Caesar Germanicus | Claudius in fiction | Claudius I | Tiberius Claudius Caesar | Tiberius Claudius Nero Caesar Drusus | Tiberius Claudius Drusus | Emperor Claudius | claudius roman emperor",Nero,0,1,0.43482121638905824,0.8021825873429477,0.43482121638905824,0.7083406412190365,answer_mean,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,high_confidence_wrong,assistant-assisted contained alias match: Tiberius Drusus Nero,yes
triviaqa-rc.nocontext-validation-658,triviaqa_rc_nocontext_validation_1000,test,What is the second biggest city in the UK?,,"Birmingham | County Borough of Birmingham | Birmingham overspill | Metropolitan Borough of Birmingham | B'Ham | Great Barr Primary School | City of Birmingham | City of a thousand and one trades | Birmingham, UK | Birminghamian | Birmingham (borough) | City of a thousand trades | Nelson Mandela Primary School | Crime and policing in Birmingham | Birmingham, United Kingdom | The weather in Birmingham | Bournville Junior School | Birmingham Corporation | Birmingham Heritage Festival | Bimringham | Birmingham artistic figures | Beormingham | Birmingham, West Midlands | England Birmingham | Birmingham, England | UN/LOCODE:GBBHM | birmingham england | birmingham uk | weather in birmingham | birmingham united kingdom | city of thousand trades | city of thousand and one trades | birmingham west midlands | b ham | birmingham borough | un locode gbbhm",London,0,0,0.7713422474686941,0.8205714416491784,0.7713422474686941,0.7121488261096112,answer_mean,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,high_confidence_wrong,assistant-assisted no lexical overlap with accepted aliases,no
triviaqa-rc.nocontext-validation-825,triviaqa_rc_nocontext_validation_1000,test,Which national team beat Hungary 4-2 to win the 1938 FIFA World Cup?,,Italy | Environment of Italy | Italiën | Subdivisions of Italy | Republic of Italy | ISO 3166-1:IT | Etymology of Italy | Itali | Pollution in Italy | Administrative divisions of Italy | Austrian Empire (Italy) | Italija | Italie | Italia | Italian Republic | Second Italian Republic | Italio | Repubblica Italiana | Itàlia | The Italian republic | iso 3166 1 it | austrian empire italy,Germany,0,0,0.4078412681802531,0.9795999916599282,0.4078412681802531,0.7803559599035189,answer_mean,freegpu-triviaqa1000-Qwen_Qwen2.5-0.5B-Instruct-answermean,high_confidence_wrong,assistant-assisted no lexical overlap with accepted aliases,no
