id,split,hidden_state_method
triviaqa-rc.nocontext-validation-1,train,answer_mean
triviaqa-rc.nocontext-validation-4,train,answer_mean
triviaqa-rc.nocontext-validation-5,train,answer_mean
triviaqa-rc.nocontext-validation-8,train,answer_mean
triviaqa-rc.nocontext-validation-9,train,answer_mean
triviaqa-rc.nocontext-validation-10,train,answer_mean
triviaqa-rc.nocontext-validation-12,train,answer_mean
triviaqa-rc.nocontext-validation-13,train,answer_mean
triviaqa-rc.nocontext-validation-14,train,answer_mean
triviaqa-rc.nocontext-validation-16,train,answer_mean
triviaqa-rc.nocontext-validation-17,train,answer_mean
triviaqa-rc.nocontext-validation-18,train,answer_mean
triviaqa-rc.nocontext-validation-20,train,answer_mean
triviaqa-rc.nocontext-validation-22,train,answer_mean
triviaqa-rc.nocontext-validation-23,train,answer_mean
triviaqa-rc.nocontext-validation-24,train,answer_mean
triviaqa-rc.nocontext-validation-26,train,answer_mean
triviaqa-rc.nocontext-validation-28,train,answer_mean
triviaqa-rc.nocontext-validation-29,train,answer_mean
triviaqa-rc.nocontext-validation-31,train,answer_mean
triviaqa-rc.nocontext-validation-33,train,answer_mean
triviaqa-rc.nocontext-validation-34,train,answer_mean
triviaqa-rc.nocontext-validation-35,train,answer_mean
triviaqa-rc.nocontext-validation-36,train,answer_mean
triviaqa-rc.nocontext-validation-37,train,answer_mean
triviaqa-rc.nocontext-validation-38,train,answer_mean
triviaqa-rc.nocontext-validation-39,train,answer_mean
triviaqa-rc.nocontext-validation-40,train,answer_mean
triviaqa-rc.nocontext-validation-41,train,answer_mean
triviaqa-rc.nocontext-validation-42,train,answer_mean
triviaqa-rc.nocontext-validation-43,train,answer_mean
triviaqa-rc.nocontext-validation-45,train,answer_mean
triviaqa-rc.nocontext-validation-47,train,answer_mean
triviaqa-rc.nocontext-validation-49,train,answer_mean
triviaqa-rc.nocontext-validation-50,train,answer_mean
triviaqa-rc.nocontext-validation-52,train,answer_mean
triviaqa-rc.nocontext-validation-53,train,answer_mean
triviaqa-rc.nocontext-validation-54,train,answer_mean
triviaqa-rc.nocontext-validation-56,train,answer_mean
triviaqa-rc.nocontext-validation-58,train,answer_mean
triviaqa-rc.nocontext-validation-61,train,answer_mean
triviaqa-rc.nocontext-validation-63,train,answer_mean
triviaqa-rc.nocontext-validation-64,train,answer_mean
triviaqa-rc.nocontext-validation-66,train,answer_mean
triviaqa-rc.nocontext-validation-68,train,answer_mean
triviaqa-rc.nocontext-validation-74,train,answer_mean
triviaqa-rc.nocontext-validation-75,train,answer_mean
triviaqa-rc.nocontext-validation-76,train,answer_mean
triviaqa-rc.nocontext-validation-78,train,answer_mean
triviaqa-rc.nocontext-validation-79,train,answer_mean
triviaqa-rc.nocontext-validation-82,train,answer_mean
triviaqa-rc.nocontext-validation-83,train,answer_mean
triviaqa-rc.nocontext-validation-84,train,answer_mean
triviaqa-rc.nocontext-validation-85,train,answer_mean
triviaqa-rc.nocontext-validation-86,train,answer_mean
triviaqa-rc.nocontext-validation-88,train,answer_mean
triviaqa-rc.nocontext-validation-90,train,answer_mean
triviaqa-rc.nocontext-validation-91,train,answer_mean
triviaqa-rc.nocontext-validation-92,train,answer_mean
triviaqa-rc.nocontext-validation-97,train,answer_mean
triviaqa-rc.nocontext-validation-98,train,answer_mean
triviaqa-rc.nocontext-validation-101,train,answer_mean
triviaqa-rc.nocontext-validation-102,train,answer_mean
triviaqa-rc.nocontext-validation-105,train,answer_mean
triviaqa-rc.nocontext-validation-106,train,answer_mean
triviaqa-rc.nocontext-validation-107,train,answer_mean
triviaqa-rc.nocontext-validation-109,train,answer_mean
triviaqa-rc.nocontext-validation-110,train,answer_mean
triviaqa-rc.nocontext-validation-113,train,answer_mean
triviaqa-rc.nocontext-validation-115,train,answer_mean
triviaqa-rc.nocontext-validation-116,train,answer_mean
triviaqa-rc.nocontext-validation-118,train,answer_mean
triviaqa-rc.nocontext-validation-119,train,answer_mean
triviaqa-rc.nocontext-validation-120,train,answer_mean
triviaqa-rc.nocontext-validation-121,train,answer_mean
triviaqa-rc.nocontext-validation-122,train,answer_mean
triviaqa-rc.nocontext-validation-124,train,answer_mean
triviaqa-rc.nocontext-validation-125,train,answer_mean
triviaqa-rc.nocontext-validation-126,train,answer_mean
triviaqa-rc.nocontext-validation-129,train,answer_mean
triviaqa-rc.nocontext-validation-130,train,answer_mean
triviaqa-rc.nocontext-validation-132,train,answer_mean
triviaqa-rc.nocontext-validation-133,train,answer_mean
triviaqa-rc.nocontext-validation-134,train,answer_mean
triviaqa-rc.nocontext-validation-136,train,answer_mean
triviaqa-rc.nocontext-validation-137,train,answer_mean
triviaqa-rc.nocontext-validation-138,train,answer_mean
triviaqa-rc.nocontext-validation-139,train,answer_mean
triviaqa-rc.nocontext-validation-140,train,answer_mean
triviaqa-rc.nocontext-validation-144,train,answer_mean
triviaqa-rc.nocontext-validation-145,train,answer_mean
triviaqa-rc.nocontext-validation-147,train,answer_mean
triviaqa-rc.nocontext-validation-148,train,answer_mean
triviaqa-rc.nocontext-validation-149,train,answer_mean
triviaqa-rc.nocontext-validation-150,train,answer_mean
triviaqa-rc.nocontext-validation-151,train,answer_mean
triviaqa-rc.nocontext-validation-152,train,answer_mean
triviaqa-rc.nocontext-validation-153,train,answer_mean
triviaqa-rc.nocontext-validation-154,train,answer_mean
triviaqa-rc.nocontext-validation-155,train,answer_mean
triviaqa-rc.nocontext-validation-157,train,answer_mean
triviaqa-rc.nocontext-validation-158,train,answer_mean
triviaqa-rc.nocontext-validation-160,train,answer_mean
triviaqa-rc.nocontext-validation-162,train,answer_mean
triviaqa-rc.nocontext-validation-164,train,answer_mean
triviaqa-rc.nocontext-validation-171,train,answer_mean
triviaqa-rc.nocontext-validation-172,train,answer_mean
triviaqa-rc.nocontext-validation-173,train,answer_mean
triviaqa-rc.nocontext-validation-174,train,answer_mean
triviaqa-rc.nocontext-validation-176,train,answer_mean
triviaqa-rc.nocontext-validation-177,train,answer_mean
triviaqa-rc.nocontext-validation-178,train,answer_mean
triviaqa-rc.nocontext-validation-179,train,answer_mean
triviaqa-rc.nocontext-validation-180,train,answer_mean
triviaqa-rc.nocontext-validation-181,train,answer_mean
triviaqa-rc.nocontext-validation-183,train,answer_mean
triviaqa-rc.nocontext-validation-184,train,answer_mean
triviaqa-rc.nocontext-validation-185,train,answer_mean
triviaqa-rc.nocontext-validation-186,train,answer_mean
triviaqa-rc.nocontext-validation-188,train,answer_mean
triviaqa-rc.nocontext-validation-189,train,answer_mean
triviaqa-rc.nocontext-validation-190,train,answer_mean
triviaqa-rc.nocontext-validation-191,train,answer_mean
triviaqa-rc.nocontext-validation-192,train,answer_mean
triviaqa-rc.nocontext-validation-193,train,answer_mean
triviaqa-rc.nocontext-validation-195,train,answer_mean
triviaqa-rc.nocontext-validation-197,train,answer_mean
triviaqa-rc.nocontext-validation-198,train,answer_mean
triviaqa-rc.nocontext-validation-199,train,answer_mean
triviaqa-rc.nocontext-validation-200,train,answer_mean
triviaqa-rc.nocontext-validation-201,train,answer_mean
triviaqa-rc.nocontext-validation-202,train,answer_mean
triviaqa-rc.nocontext-validation-204,train,answer_mean
triviaqa-rc.nocontext-validation-206,train,answer_mean
triviaqa-rc.nocontext-validation-207,train,answer_mean
