id,dataset,split,question,context,accepted_answers,model_answer,auto_correctness_label,manual_correctness_label,raw_generation_confidence,tcl_v0_probe_confidence,tcl_v0_conservative_confidence,tcl_v0_calibrated_confidence,hidden_state_method,run_id,review_reason,review_notes,changes_aggregate_interpretation
squad-validation-224,squad_validation_1000,test,What position does Jerricho Cotchery play?,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback Cam Newton had one of his best seasons, throwing for 3,837 yards and rushing for 636, while recording a career-high and league-leading 45 total touchdowns (35 passing, 10 rushing), a career-low 10 interceptions, and a career-best quarterback rating of 99.4. Newton's leading receivers were tight end Greg Olsen, who caught a career-high 77 passes for 1,104 yards and seven touchdowns, and wide receiver Ted Ginn, Jr., who caught 44 passes for 739 yards and 10 touchdowns; Ginn also rushed for 60 yards and returned 27 punts for 277 yards. Other key receivers included veteran Jerricho Cotchery (39 receptions for 485 yards), rookie Devin Funchess (31 receptions for 473 yards and five touchdowns), and second-year receiver Corey Brown (31 receptions for 447 yards). The Panthers backfield featured Pro Bowl running back Jonathan Stewart, who led the team with 989 rushing yards and six touchdowns in 13 games, along with Pro Bowl fullback Mike Tolbert, who rushed for 256 yards and caught 18 passes for another 154 yards. Carolina's offensive line also featured two Pro Bowl selections: center Ryan Kalil and guard Trai Turner.",receivers,Wide receiver,0,0,0.8204341434453808,0.998620011885112,0.8204341434453808,0.5101487548466374,answer_mean,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,high_confidence_wrong,assistant-assisted no lexical overlap with accepted aliases,no
squad-validation-616,squad_validation_1000,test,What famous July Fourth holiday movie did Fox pay to advertise a sequel of during the Super Bowl?,"20th Century Fox, Lionsgate, Paramount Pictures, Universal Studios and Walt Disney Studios paid for movie trailers to be aired during the Super Bowl. Fox paid for Deadpool, X-Men: Apocalypse, Independence Day: Resurgence and Eddie the Eagle, Lionsgate paid for Gods of Egypt, Paramount paid for Teenage Mutant Ninja Turtles: Out of the Shadows and 10 Cloverfield Lane, Universal paid for The Secret Life of Pets and the debut trailer for Jason Bourne and Disney paid for Captain America: Civil War, The Jungle Book and Alice Through the Looking Glass.[citation needed]",Independence Day | Independence Day: Resurgence,Deadpool,0,0,0.6054308771487508,0.9813742975833966,0.6054308771487508,0.3579532525886006,answer_mean,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,high_confidence_wrong,assistant-assisted no lexical overlap with accepted aliases,no
squad-validation-643,squad_validation_1000,test,What two radio stations in Denver carried Super Bowl 50?,"The flagship stations of each station in the markets of each team will carry their local play-by-play calls. In Denver, KOA (850 AM) and KRFX (103.5 FM) will carry the game, with Dave Logan on play-by-play and Ed McCaffrey on color commentary. In North Carolina, WBT (1110 AM) will carry the game, with Mick Mixon on play-by-play and Eugene Robinson and Jim Szoke on color commentary. WBT will also simulcast the game on its sister station WBT-FM (99.3 FM), which is based in Chester, South Carolina. As KOA and WBT are both clear-channel stations, the local broadcasts will be audible over much of the western United States after sunset (for Denver) and the eastern United States throughout the game (for Carolina). In accordance with contractual rules, the rest of the stations in the Broncos and Panthers radio networks will either carry the Westwood One feed or not carry the game at all.",KOA (850 AM) and KRFX (103.5 FM),KOA (850 AM) and KR,0,1,0.963064253920724,0.9998478696635456,0.963064253920724,0.6380294831767993,answer_mean,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,high_confidence_wrong,assistant-assisted contained alias match: KOA (850 AM) and KRFX (103.5 FM),yes
squad-validation-777,squad_validation_1000,test,What was the last name of the player who took the ball away from Newton late in the fourth quarter?,"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, Miller stripped the ball away from Newton, and after several players dove for it, it took a long bounce backwards and was recovered by Ward, who returned it five yards to the Panthers 4-yard line. Although several players dove into the pile to attempt to recover it, Newton did not and his lack of aggression later earned him heavy criticism. Meanwhile, Denver's offense was kept out of the end zone for three plays, but a holding penalty on cornerback Josh Norman gave the Broncos a new set of downs. Then Anderson scored on a 2-yard touchdown run and Manning completed a pass to Bennie Fowler for a 2-point conversion, giving Denver a 24–10 lead with 3:08 left and essentially putting the game away. Carolina had two more drives, but failed to get a first down on each one.",Miller,Ward,0,0,0.9991520786785385,0.9990274706757265,0.9990274706757265,0.5309997682424165,answer_mean,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,high_confidence_wrong,assistant-assisted no lexical overlap with accepted aliases,no
squad-validation-794,squad_validation_1000,test,How many intercpetions did Newton have in Super Bowl 50?,"Manning finished the game 13 of 23 for 141 yards with one interception and zero touchdowns. Sanders was his top receiver with six receptions for 83 yards. Anderson was the game's leading rusher with 90 yards and a touchdown, along with four receptions for 10 yards. Miller had six total tackles (five solo), 2½ sacks, and two forced fumbles. Ware had five total tackles and two sacks. Ward had seven total tackles, a fumble recovery, and an interception. McManus made all four of his field goals, making him perfect on all 11 attempts during the post-season. Newton completed 18 of 41 passes for 265 yards, with one interception. He was also the team's leading rusher with 45 yards on six carries. Brown caught four passes for 80 yards, while Ginn had four receptions for 74. Ealy was the top defensive performer for Carolina with four total tackles, three sacks, a forced fumble, a fumble recovery, and an interception. Defensive End Charles Johnson had four total tackles, a sack, and a forced fumble. Linebacker Luke Kuechly had 11 total tackles, while Thomas Davis had seven, despite playing just two weeks after breaking his right arm in the NFC title game.",one,None,0,1,0.6737759107458966,0.9069988012264165,0.6737759107458966,0.2715860309024856,answer_mean,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,high_confidence_wrong,assistant-assisted contained alias match: one,yes
squad-validation-849,squad_validation_1000,test,What type of venue is the Teatr Wielki?,"Thanks to numerous musical venues, including the Teatr Wielki, the Polish National Opera, the Chamber Opera, the National Philharmonic Hall and the National Theatre, as well as the Roma and Buffo music theatres and the Congress Hall in the Palace of Culture and Science, Warsaw hosts many events and festivals. Among the events worth particular attention are: the International Frédéric Chopin Piano Competition, the International Contemporary Music Festival Warsaw Autumn, the Jazz Jamboree, Warsaw Summer Jazz Days, the International Stanisław Moniuszko Vocal Competition, the Mozart Festival, and the Festival of Old Music.",musical,Theatre,0,0,0.6846229752921543,0.9981287852579457,0.6846229752921543,0.49196445396843763,answer_mean,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,high_confidence_wrong,assistant-assisted no lexical overlap with accepted aliases,no
squad-validation-908,squad_validation_1000,test,"Why did Warsaw gain the title of the ""Phoenix City""?","The first historical reference to Warsaw dates back to the year 1313, at a time when Kraków served as the Polish capital city. Due to its central location between the Polish–Lithuanian Commonwealth's capitals of Kraków and Vilnius, Warsaw became the capital of the Commonwealth and of the Crown of the Kingdom of Poland when King Sigismund III Vasa moved his court from Kraków to Warsaw in 1596. After the Third Partition of Poland in 1795, Warsaw was incorporated into the Kingdom of Prussia. In 1806 during the Napoleonic Wars, the city became the official capital of the Grand Duchy of Warsaw, a puppet state of the First French Empire established by Napoleon Bonaparte. In accordance with the decisions of the Congress of Vienna, the Russian Empire annexed Warsaw in 1815 and it became part of the ""Congress Kingdom"". Only in 1918 did it regain independence from the foreign rule and emerge as a new capital of the independent Republic of Poland. The German invasion in 1939, the massacre of the Jewish population and deportations to concentration camps led to the uprising in the Warsaw ghetto in 1943 and to the major and devastating Warsaw Uprising between August and October 1944. Warsaw gained the title of the ""Phoenix City"" because it has survived many wars, conflicts and invasions throughout its long history. Most notably, the city required painstaking rebuilding after the extensive damage it suffered in World War II, which destroyed 85% of its buildings. On 9 November 1940, the city was awarded Poland's highest military decoration for heroism, the Virtuti Militari, during the Siege of Warsaw (1939).","survived many wars, conflicts and invasions | it has survived many wars, conflicts and invasions | because it has survived many wars, conflicts and invasions throughout its long history","Due to its survival through many wars, conflicts, and",0,,0.8884843917801176,0.9729880100931971,0.8884843917801176,0.3373854301675133,answer_mean,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,high_confidence_wrong,"needs semantic review; best alias overlap=0.533 (survived many wars, conflicts and invasions)",
squad-validation-95,squad_validation_1000,test,How much money did a 1/2 minute commercial cost?,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII and Super Bowl XLVIII halftime shows, respectively. It was the third-most watched U.S. broadcast ever.",$5 million,$10 million,0,,0.9676176420083392,0.9994575055421255,0.9676176420083392,0.5654921295350427,answer_mean,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,high_confidence_wrong,needs semantic review; best alias overlap=0.500 ($5 million),
squad-validation-974,squad_validation_1000,test,What does Warsaw's mixture of architectural styles reflect?,"Warsaw's mixture of architectural styles reflects the turbulent history of the city and country. During the Second World War, Warsaw was razed to the ground by bombing raids and planned destruction. After liberation, rebuilding began as in other cities of the communist-ruled PRL. Most of the historical buildings were thoroughly reconstructed. However, some of the buildings from the 19th century that had been preserved in reasonably reconstructible form were nonetheless eradicated in the 1950s and 1960s (e.g. Leopold Kronenberg Palace). Mass residential blocks were erected, with basic design typical of Eastern bloc countries.",turbulent history of the city | turbulent history of the city and country,Warsaw's turbulent history.,0,,0.871676479841993,0.9486960553057866,0.871676479841993,0.3028007501054077,answer_mean,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,high_confidence_wrong,needs semantic review; best alias overlap=0.500 (turbulent history of the city),
squad-validation-994,squad_validation_1000,test,What commemorates Warsaw's heroic history?,"There are also many places commemorating the heroic history of Warsaw. Pawiak, an infamous German Gestapo prison now occupied by a Mausoleum of Memory of Martyrdom and the museum, is only the beginning of a walk in the traces of Heroic City. The Warsaw Citadel, an impressive 19th-century fortification built after the defeat of the November Uprising, was a place of martyr for the Poles. Another important monument, the statue of Little Insurgent located at the ramparts of the Old Town, commemorates the children who served as messengers and frontline troops in the Warsaw Uprising, while the impressive Warsaw Uprising Monument by Wincenty Kućma was erected in memory of the largest insurrection of World War II.",many places,"Mausoleum of Memory of Martyrdom, Wars",0,0,0.885540337774137,0.8715984810912216,0.8715984810912216,0.25482992053207554,answer_mean,freegpu-squad1000-microsoft_Phi-3.5-mini-instruct-answermean,high_confidence_wrong,assistant-assisted no lexical overlap with accepted aliases,no
