hidden_state_method,hidden_state_layer,signal,n_train,n_validation,n_test,positive_rate_test,test_has_two_classes,weighted,feature_count,p_greater_than_n_train,accuracy_at_0_5,ece,mce,brier,wrong_conf_ge_0_8,wrong_conf_ge_0_9,auc
answer_mean,-1,raw_generation_confidence,650,150,200,0.185,True,True,896,True,0.565,0.35402789054176914,0.5201313618499708,0.2545761122742079,9,3,0.7655446857900846
answer_mean,-1,raw_temperature_scaled_confidence,650,150,200,0.185,True,True,896,True,0.565,0.34724167616785734,0.420339439850067,0.24501940157103752,3,0,0.7655446857900846
answer_mean,-1,raw_platt_confidence,650,150,200,0.185,True,True,896,True,0.695,0.26980020613325456,0.4023839561099272,0.19955549545604356,1,0,0.7655446857900846
answer_mean,-1,raw_isotonic_confidence,650,150,200,0.185,True,True,896,True,0.795,0.2388297043044546,0.7950310559006212,0.1885853614920993,5,0,0.7385176587630575
answer_mean,-1,raw_platt_conservative_confidence,650,150,200,0.185,True,True,896,True,0.695,0.26927433437771553,0.4023839561099272,0.19949516172634296,1,0,0.7655446857900846
answer_mean,-1,raw_isotonic_conservative_confidence,650,150,200,0.185,True,True,896,True,0.795,0.2384779803294627,0.7950310559006212,0.18818412843459914,5,0,0.7398441386171447
answer_mean,-1,hidden_only_probe_confidence,650,150,200,0.185,True,True,896,True,0.815,0.1536514982671639,0.5709936456264694,0.16341830020204115,12,9,0.776653954568065
answer_mean,-1,hidden_conservative_confidence,650,150,200,0.185,True,True,896,True,0.85,0.10973977972096166,0.34002112160575304,0.13119979384427038,1,0,0.7917426629083071
answer_mean,-1,raw_plus_hidden_confidence,650,150,200,0.185,True,True,896,True,0.81,0.13696468284441934,0.5178426082173774,0.15235163351099268,9,8,0.8031835516498094
answer_mean,-1,raw_plus_hidden_conservative_confidence,650,150,200,0.185,True,True,896,True,0.845,0.09617398666479232,0.3338065124208922,0.1243080458840843,1,0,0.815453490300116
answer_mean,-1,probe_score_plus_raw_confidence,650,150,200,0.185,True,True,896,True,0.805,0.13619225004763177,0.5984883488308943,0.15866942571730905,10,8,0.7832863538385011
